1775
10
53
[971,142,142,142,103,96,99,1207,160,180,82,60,112,420,1556,236,259,125,601,80,80,70,89,89,105,330,132,69,99,70,70,158,191,70,53,50,125,353,70,128,65,1775,91,91,113,487,138,80,80,65,40,742,1085]
[0.4952,0.0724,0.0966,0.0483,0.07,0.049,0.0505,1.026,0.0544,0.0612,0.0418,0.0408,0.0571,0.1428,1.0581,0.1605,0.1321,0.0425,0.3065,0.0408,0.0544,0.0357,0.0454,0.0303,0.0536,0.2244,0.0449,0.0469,0.0505,0.0595,0.0714,0.1074,0.0649,0.0595,0.036,0.0425,0.085,0.12,0.0238,0.0653,0.0332,0.6035,0.0619,0.0928,0.0768,0.3312,0.0938,0.0544,0.068,0.0332,0.0272,0.3784,0.7378]
1,2
1,3
1,4
1,5
1,6
1,7
2,36
3,36
4,9
5,9
6,9
7,9
8,9
9,10
10,11
11,12
12,13
12,14
12,15
13,16
13,17
13,18
14,22
15,16
15,17
16,29
16,30
16,31
17,19
18,42
19,20
19,21
19,22
20,23
21,24
22,25
23,36
24,36
25,26
26,27
27,28
28,29
28,30
28,31
28,32
28,33
28,34
29,35
30,35
31,35
32,35
33,35
34,35
35,36
36,37
37,38
37,39
37,40
38,41
39,41
40,41
41,42
42,43
42,44
42,45
42,46
42,47
43,48
44,49
45,51
45,52
46,50
47,51
47,52
48,51
48,52
49,51
49,52
50,51
50,52
51,53
52,53
-1,-1
