34
10
29
5
[[7,19,15,5,12,10,8,16,2,6,21,10,9,4,14,7,14,17,10,16,1,9,25,14,14,2,10,7,20],
[13,25,21,11,18,16,14,22,8,12,27,16,15,10,20,13,20,23,16,22,7,15,31,20,20,8,16,13,26],
[7,19,15,5,12,10,8,16,2,6,21,10,9,4,14,7,14,17,10,16,1,9,25,14,14,2,10,7,20],
[9,21,17,7,14,12,10,18,4,8,23,12,11,6,16,9,16,19,12,18,3,11,27,16,16,4,12,9,22],
[7,19,15,5,12,10,8,16,2,6,21,10,9,4,14,7,14,17,10,16,1,9,25,14,14,2,10,7,20]]
[[1,4,0,4e+10,9,0,1,0,0,1,4,4e+10,1,0,4e+10,0,9,1,0,0,9,4,1,0,0,4e+10,0,0,1],
[0.81,3.61,0.01,0,8.41,0.01,0.81,0.01,0.01,0.81,3.61,0.81,0.81,0.01,0.81,0.01,8.41,0.81,0.01,0.01,8.41,3.61,0.81,0.01,0.01,0.01,0.01,0.01,0.81],
[0.36,2.56,0.16,3.99998e+10,6.76,0.16,0.36,0.16,0.16,0.36,2.56,0.36,0.36,0.16,0,0.16,6.76,0.36,0.16,0.16,6.76,2.56,0.36,0.16,0.16,0,0.16,0.16,0.36],
[0.49,2.89,0.09,3.99999e+10,7.29,0.09,0.49,0.09,0.09,0.49,2.89,0.49,0.49,0.09,3.99999e+10,0.09,7.29,0.49,0.09,0.09,7.29,2.89,4e+10,0.09,0.09,3.99999e+10,0.09,0.09,0.49],
[0.16,1.96,0.36,3.99998e+10,5.76,0.36,0.16,0.36,0.36,0.16,1.96,0,0.16,0.36,3.99998e+10,0.36,5.76,0.16,0.36,0.36,5.76,1.96,0.16,0.36,0.36,3.99998e+10,0.36,0.36,0.16]]
1,3
1,25
2,6
2,26
3,4
4,5
5,8
5,13
6,8
7,9
7,12
7,25
8,11
8,16
9,10
10,14
10,15
11,17
12,15
13,17
14,16
15,19
16,18
17,20
18,22
19,21
20,23
21,22
22,23
23,24
23,28
24,29
25,29
26,27
27,29
28,29
-1,-1
